trans_id,lang,translation
松陰神社前,ja,松陰神社前
松陰神社前,en,Shoin-jinja-mae
若林,ja,若林
若林,en,Wakabayashi
山下,ja,山下
山下,en,Yamashita
武蔵新田,ja,武蔵新田
武蔵新田,en,Musashi-nitta
沼部,ja,沼部
沼部,en,Numabe
下丸子,ja,下丸子
下丸子,en,Shimomaruko
鵜の木,ja,鵜の木
鵜の木,en,Unoki
矢口渡,ja,矢口渡
矢口渡,en,Yaguchi-no-watashi
代官山,ja,代官山
代官山,en,Daikan-yama
学芸大学,ja,学芸大学
学芸大学,en,Gakugei-daigaku
白楽,ja,白楽
白楽,en,Hakuraku
東白楽,ja,東白楽
東白楽,en,Higashi-hakuraku
菊名,ja,菊名
菊名,en,Kikuna
妙蓮寺,ja,妙蓮寺
妙蓮寺,en,Myorenji
中目黒,ja,中目黒
中目黒,en,Naka-meguro
大倉山,ja,大倉山
大倉山,en,Okurayama
三島,ja,三島
三島,en,Mishima
反町,ja,反町
反町,en,Tammachi
都立大学,ja,都立大学
都立大学,en,Toritsu-daigaku
長坂,ja,長坂
長坂,en,Nagasaka
綱島,ja,綱島
綱島,en,Tsunashima
横浜,ja,横浜
横浜,en,Yokohama
祐天寺,ja,祐天寺
祐天寺,en,Yutenji
国際展示場,ja,国際展示場
国際展示場,en,Kokusai-tenjijo
大崎,ja,大崎
大崎,en,Osaki
新木場,ja,新木場
新木場,en,Shin-kiba
品川シーサイド,ja,品川シーサイド
品川シーサイド,en,Shinagawa Seaside
東雲,ja,東雲
東雲,en,Shinonome
天王洲アイル,ja,天王洲アイル
天王洲アイル,en,Tennozu Isle
東京テレポート,ja,東京テレポート
東京テレポート,en,Tokyo Teleport
韮崎,ja,韮崎
韮崎,en,Nirasaki
青海,ja,青海
青海,en,Aomi
有明テニスの森,ja,有明テニスの森
有明テニスの森,en,Ariake-tennis-no-mori
有明,ja,有明
有明,en,Ariake
台場,ja,台場
台場,en,Daiba
日の出,ja,日の出
日の出,en,Hinode
沼津,ja,沼津
沼津,en,Numazu
お台場海浜公園,ja,お台場海浜公園
お台場海浜公園,en,Odaiba-kaihinkoen
芝浦ふ頭,ja,芝浦ふ頭
芝浦ふ頭,en,Shibaura-futo
市場前,ja,市場前
市場前,en,Shijo-mae
新橋,ja,新橋
新橋,en,Shimbashi
新豊洲,ja,新豊洲
新豊洲,en,Shin-toyosu
汐留,ja,汐留
汐留,en,Shiodome
竹芝,ja,竹芝
竹芝,en,Takeshiba
テレコムセンター,ja,テレコムセンター
テレコムセンター,en,Telecom Center
岡谷,ja,岡谷
岡谷,en,Okaya
東京ビッグサイト,ja,東京ビッグサイト
東京ビッグサイト,en,Tokyo Big Sight
東京国際クルーズターミナル,ja,東京国際クルーズターミナル
東京国際クルーズターミナル,en,Tokyo International Cruise Terminal
豊洲,ja,豊洲
豊洲,en,Toyosu
唐木田,ja,唐木田
唐木田,en,Karakida
大月,ja,大月
大月,en,Otsuki
竜王,ja,竜王
竜王,en,Ryuo
長後,ja,長後
長後,en,Chogo
藤沢本町,ja,藤沢本町
藤沢本町,en,Fujisawa-Hommachi
柿生,ja,柿生
柿生,en,Kakio
藤沢,ja,藤沢
藤沢,en,Fujisawa
東林間,ja,東林間
東林間,en,Higashi-Rinkan
本鵠沼,ja,本鵠沼
本鵠沼,en,Hon-Kugenuma
片瀬江ノ島,ja,片瀬江ノ島
片瀬江ノ島,en,Katase-Enoshima
高座渋谷,ja,高座渋谷
高座渋谷,en,Koza-Shibuya
鵠沼海岸,ja,鵠沼海岸
鵠沼海岸,en,Kugenuma-Kaigan
南林間,ja,南林間
南林間,en,Minami-Rinkan
六会日大前,ja,六会日大前
六会日大前,en,Mutsuai-Nichidai-Mae
相模大野,ja,相模大野
相模大野,en,Sagami-Ono
桜ヶ丘,ja,桜ヶ丘
桜ヶ丘,en,Sakuragaoka
湘南台,ja,湘南台
湘南台,en,Shonandai
鶴間,ja,鶴間
鶴間,en,Tsuruma
大和,ja,大和
大和,en,Yamato
善行,ja,善行
善行,en,Zengyo
愛甲石田,ja,愛甲石田
愛甲石田,en,Aiko-Ishida
足柄,ja,足柄
足柄,en,Ashigara
厚木,ja,厚木
厚木,en,Atsugi
千歳船橋,ja,千歳船橋
千歳船橋,en,Chitose-Funabashi
海老名,ja,海老名
海老名,en,Ebina
豪徳寺,ja,豪徳寺
豪徳寺,en,Gotokuji
秦野,ja,秦野
秦野,en,Hadano
東北沢,ja,東北沢
東北沢,en,Higashi-Kitazawa
本厚木,ja,本厚木
本厚木,en,Hon-Atsugi
螢田,ja,螢田
螢田,en,Hotaruda
生田,ja,生田
生田,en,Ikuta
伊勢原,ja,伊勢原
伊勢原,en,Isehara
和泉多摩川,ja,和泉多摩川
和泉多摩川,en,Izumi-Tamagawa
開成,ja,開成
開成,en,Kaisei
栢山,ja,栢山
栢山,en,Kayama
喜多見,ja,喜多見
喜多見,en,Kitami
狛江,ja,狛江
狛江,en,Komae
経堂,ja,経堂
経堂,en,Kyodo
町田,ja,町田
町田,en,Machida
南新宿,ja,南新宿
南新宿,en,Minami-Shinjuku
向ヶ丘遊園,ja,向ヶ丘遊園
向ヶ丘遊園,en,Mukogaoka-Yuen
登戸,ja,登戸
登戸,en,Noborito
小田急相模原,ja,小田急相模原
小田急相模原,en,Odakyu-Sagamihara
小田原,ja,小田原
小田原,en,Odawara
参宮橋,ja,参宮橋
参宮橋,en,Sangubashi
鶴川,ja,鶴川
鶴川,en,Tsurukawa
成城学園前,ja,成城学園前
成城学園前,en,Seijogakuen-Mae
世田谷代田,ja,世田谷代田
世田谷代田,en,Setagaya-Daita
渋沢,ja,渋沢
渋沢,en,Shibusawa
代々木八幡,ja,代々木八幡
代々木八幡,en,Yoyogi-Hachiman
下北沢,ja,下北沢
下北沢,en,Shimo-kitazawa
新松田,ja,新松田
新松田,en,Shin-Matsuda
新百合ヶ丘,ja,新百合ヶ丘
新百合ヶ丘,en,Shin-Yurigaoka
新宿,ja,新宿
新宿,en,Shinjuku
信濃境,ja,信濃境
信濃境,en,Shinano-Sakai
相武台前,ja,相武台前
相武台前,en,Sobudai-Mae
祖師ヶ谷大蔵,ja,祖師ヶ谷大蔵
祖師ヶ谷大蔵,en,Soshigaya-Okura
玉川学園前,ja,玉川学園前
玉川学園前,en,Tamagawagakuen-Mae
東海大学前,ja,東海大学前
東海大学前,en,Tokaidaigaku-Mae
富水,ja,富水
富水,en,Tomizu
鶴巻温泉,ja,鶴巻温泉
鶴巻温泉,en,Tsurumaki-Onsen
梅ヶ丘,ja,梅ヶ丘
梅ヶ丘,en,Umegaoka
読売ランド前,ja,読売ランド前
読売ランド前,en,Yomiuri Land Mae
黒川,ja,黒川
黒川,en,Kurokawa
代々木上原,ja,代々木上原
代々木上原,en,Yoyogi-uehara
百合ヶ丘,ja,百合ヶ丘
百合ヶ丘,en,Yurigaoka
座間,ja,座間
座間,en,Zama
はるひ野,ja,はるひ野
はるひ野,en,Haruhino
栗平,ja,栗平
栗平,en,Kurihira
小田急永山,ja,小田急永山
小田急永山,en,Odakyu-Nagayama
小田急多摩センター,ja,小田急多摩センター
小田急多摩センター,en,Odakyu Tama Center
五月台,ja,五月台
五月台,en,Satsukidai
甲斐大和,ja,甲斐大和
甲斐大和,en,Kai-Yamato
上諏訪,ja,上諏訪
上諏訪,en,Kami-Suwa
塩山,ja,塩山
塩山,en,Enzan
富士見,ja,富士見
富士見,en,Fujimi
藤野,ja,藤野
藤野,en,Fujino
初狩,ja,初狩
初狩,en,Hatsukari
東山梨,ja,東山梨
東山梨,en,Higashi-Yamanashi
長野原草津口,ja,長野原草津口
長野原草津口,en,Naganoharakusatsuguchi
喜多方,ja,喜多方
喜多方,en,Kitakata
穴山,ja,穴山
穴山,en,Anayama
青柳,ja,青柳
青柳,en,Aoyagi
茅野,ja,茅野
茅野,en,Chino
塩尻,ja,塩尻
塩尻,en,Shiojiri
四方津,ja,四方津
四方津,en,Shiotsu
塩崎,ja,塩崎
塩崎,en,Shiozaki
すずらんの里,ja,すずらんの里
すずらんの里,en,Suzurannosato
高尾,ja,高尾
高尾,en,Takao
鳥沢,ja,鳥沢
鳥沢,en,Torisawa
上野原,ja,上野原
上野原,en,Uenohara
山梨市,ja,山梨市
山梨市,en,Yamanashishi
梁川,ja,梁川
梁川,en,Yanagawa
日光,ja,日光
日光,en,Nikko
阿佐ケ谷,ja,阿佐ケ谷
阿佐ケ谷,en,Asagaya
八王子,ja,八王子
八王子,en,Hachioji
東小金井,ja,東小金井
東小金井,en,Higashi-Koganei
日野,ja,日野
日野,en,Hino
神田,ja,神田
神田,en,Kanda
吉祥寺,ja,吉祥寺
吉祥寺,en,Kichijoji
下野大沢,ja,下野大沢
下野大沢,en,Shimotsuke-Osawa
高円寺,ja,高円寺
高円寺,en,Koenji
仁井田,ja,仁井田
仁井田,en,Niita
国立,ja,国立
国立,en,Kunitachi
三鷹,ja,三鷹
三鷹,en,Mitaka
武蔵小金井,ja,武蔵小金井
武蔵小金井,en,Musashi-Koganei
中野,ja,中野
中野,en,Nakano
大金,ja,大金
大金,en,Ogane
西八王子,ja,西八王子
西八王子,en,Nishi-Hachioji
西国分寺,ja,西国分寺
西国分寺,en,Nishi-Kokubunji
西荻窪,ja,西荻窪
西荻窪,en,Nishi-Ogikubo
御茶ノ水,ja,御茶ノ水
御茶ノ水,en,Ochanomizu
明覚,ja,明覚
明覚,en,Myokaku
荻窪,ja,荻窪
荻窪,en,Ogikubo
立川,ja,立川
立川,en,Tachikawa
東京,ja,東京
東京,en,Tokyo
豊田,ja,豊田
豊田,en,Toyoda
四ツ谷,ja,四ツ谷
四ツ谷,en,Yotsuya
秋葉原,ja,秋葉原
秋葉原,en,Akihabara
浅草橋,ja,浅草橋
浅草橋,en,Asakusabashi
千葉,ja,千葉
千葉,en,Chiba
東船橋,ja,東船橋
東船橋,en,Higashi-Funabashi
東中野,ja,東中野
東中野,en,Higashi-nakano
平井,ja,平井
平井,en,Hirai
市ケ谷,ja,市ケ谷
市ケ谷,en,Ichigaya
市川,ja,市川
市川,en,Ichikawa
飯田橋,ja,飯田橋
飯田橋,en,Iidabashi
稲毛,ja,稲毛
稲毛,en,Inage
錦糸町,ja,錦糸町
錦糸町,en,Kinshicho
小岩,ja,小岩
小岩,en,Koiwa
幕張本郷,ja,幕張本郷
幕張本郷,en,Makuharihongo
幕張,ja,幕張
幕張,en,Makuhari
南小谷,ja,南小谷
南小谷,en,Minami-Otari
本八幡,ja,本八幡
本八幡,en,Motoyawata
西千葉,ja,西千葉
西千葉,en,Nishi-Chiba
鶴田,ja,鶴田
鶴田,en,Tsuruta
西船橋,ja,西船橋
西船橋,en,Nishi-funabashi
箱根ケ崎,ja,箱根ケ崎
箱根ケ崎,en,Hakonegasaki
大久保,ja,大久保
大久保,en,Okubo
両国,ja,両国
両国,en,Ryogoku
千駄ケ谷,ja,千駄ケ谷
千駄ケ谷,en,Sendagaya
下総中山,ja,下総中山
下総中山,en,Shimosa-Nakayama
新検見川,ja,新検見川
新検見川,en,Shin-Kemigawa
新小岩,ja,新小岩
新小岩,en,Shin-Koiwa
信濃町,ja,信濃町
信濃町,en,Shinanomachi
水道橋,ja,水道橋
水道橋,en,Suidobashi
津田沼,ja,津田沼
津田沼,en,Tsudanuma
代々木,ja,代々木
代々木,en,Yoyogi
群馬藤岡,ja,群馬藤岡
群馬藤岡,en,Gumma-Fujioka
井野,ja,井野
井野,en,Ino
熱海,ja,熱海
熱海,en,Atami
東福生,ja,東福生
東福生,en,Higashi-Fussa
金子,ja,金子
金子,en,Kaneko
北藤岡,ja,北藤岡
北藤岡,en,Kita-Fujioka
北八王子,ja,北八王子
北八王子,en,Kita-Hachioji
児玉,ja,児玉
児玉,en,Kodama
高麗川,ja,高麗川
高麗川,en,Komagawa
小宮,ja,小宮
小宮,en,Komiya
倉賀野,ja,倉賀野
倉賀野,en,Kuragano
松久,ja,松久
松久,en,Matsuhisa
毛呂,ja,毛呂
毛呂,en,Moro
折原,ja,折原
折原,en,Orihara
高崎,ja,高崎
高崎,en,Takasaki
竹沢,ja,竹沢
竹沢,en,Takezawa
丹荘,ja,丹荘
丹荘,en,Tansho
用土,ja,用土
用土,en,Yodo
網代,ja,網代
網代,en,Ajiro
伊東,ja,伊東
伊東,en,Ito
伊豆多賀,ja,伊豆多賀
伊豆多賀,en,Izu-Taga
来宮,ja,来宮
来宮,en,Kinomiya
宇佐美,ja,宇佐美
宇佐美,en,Usami
秋川,ja,秋川
秋川,en,Akigawa
東秋留,ja,東秋留
東秋留,en,Higashi-Akiru
熊川,ja,熊川
熊川,en,Kumagawa
武蔵引田,ja,武蔵引田
武蔵引田,en,Musashi-Hikida
武蔵五日市,ja,武蔵五日市
武蔵五日市,en,Musashi-Itsukaichi
武蔵増戸,ja,武蔵増戸
武蔵増戸,en,Musashi-Masuko
赤塚,ja,赤塚
赤塚,en,Akatsuka
荒川沖,ja,荒川沖
荒川沖,en,Arakawaoki
藤代,ja,藤代
藤代,en,Fujishiro
双葉,ja,双葉
双葉,en,Futaba
浜吉田,ja,浜吉田
浜吉田,en,Hamayoshida
原ノ町,ja,原ノ町
原ノ町,en,Haranomachi
羽鳥,ja,羽鳥
羽鳥,en,Hatori
広野,ja,広野
広野,en,Hirono
久ノ浜,ja,久ノ浜
久ノ浜,en,Hisanohama
常陸多賀,ja,常陸多賀
常陸多賀,en,Hitachi-Taga
ひたち野うしく,ja,ひたち野うしく
ひたち野うしく,en,Hitachinoushiku
日立,ja,日立
日立,en,Hitachi
石岡,ja,石岡
石岡,en,Ishioka
磯原,ja,磯原
磯原,en,Isohara
磐城太田,ja,磐城太田
磐城太田,en,Iwaki-Ota
いわき,ja,いわき
いわき,en,Iwaki
岩間,ja,岩間
岩間,en,Iwama
岩沼,ja,岩沼
岩沼,en,Iwanuma
泉,ja,泉
泉,en,Izumi
十王,ja,十王
十王,en,Juo
偕楽園,ja,偕楽園
偕楽園,en,Kairakuen
神立,ja,神立
神立,en,Kandatsu
鹿島,ja,鹿島
鹿島,en,Kashima
勝田,ja,勝田
勝田,en,Katsuta
木戸,ja,木戸
木戸,en,Kido
駒ケ嶺,ja,駒ケ嶺
駒ケ嶺,en,Komagamine
草野,ja,草野
草野,en,Kusano
南中郷,ja,南中郷
南中郷,en,Minami-Nakago
南仙台,ja,南仙台
南仙台,en,Minami-Sendai
水戸,ja,水戸
水戸,en,Mito
桃内,ja,桃内
桃内,en,Momouchi
長町,ja,長町
長町,en,Nagamachi
勿来,ja,勿来
勿来,en,Nakoso
浪江,ja,浪江
浪江,en,Namie
名取,ja,名取
名取,en,Natori
日立木,ja,日立木
日立木,en,Nittaki
小高,ja,小高
小高,en,Odaka
小木津,ja,小木津
小木津,en,Ogitsu
逢隈,ja,逢隈
逢隈,en,Okuma
大甕,ja,大甕
大甕,en,Omika
大野,ja,大野
大野,en,Ono
大津港,ja,大津港
大津港,en,Otsuko
坂元,ja,坂元
坂元,en,Sakamoto
佐貫,ja,佐貫
佐貫,en,Sanuki
佐和,ja,佐和
佐和,en,Sawa
仙台,ja,仙台
仙台,en,Sendai
新地,ja,新地
新地,en,Shinchi
相馬,ja,相馬
相馬,en,Soma
末続,ja,末続
末続,en,Suetsugi
太子堂,ja,太子堂
太子堂,en,Taishido
高萩,ja,高萩
高萩,en,Takahagi
高浜,ja,高浜
高浜,en,Takahama
館腰,ja,館腰
館腰,en,Tatekoshi
竜田,ja,竜田
竜田,en,Tatsuta
東海,ja,東海
東海,en,Tokai
富岡,ja,富岡
富岡,en,Tomioka
友部,ja,友部
友部,en,Tomobe
取手,ja,取手
取手,en,Toride
土浦,ja,土浦
土浦,en,Tsuchiura
内郷,ja,内郷
内郷,en,Uchigo
内原,ja,内原
内原,en,Uchihara
植田,ja,植田
植田,en,Ueda
牛久,ja,牛久
牛久,en,Ushiku
亘理,ja,亘理
亘理,en,Watari
夜ノ森,ja,夜ノ森
夜ノ森,en,Yonomori
四ツ倉,ja,四ツ倉
四ツ倉,en,Yotsukura
湯本,ja,湯本
湯本,en,Yumoto
我孫子,ja,我孫子
我孫子,en,Abiko
綾瀬,ja,綾瀬
綾瀬,en,Ayase
亀有,ja,亀有
亀有,en,Kameari
金町,ja,金町
金町,en,Kanamachi
北柏,ja,北柏
北柏,en,Kita-Kashiwa
北小金,ja,北小金
北小金,en,Kita-Kogane
北松戸,ja,北松戸
北松戸,en,Kita-Matsudo
馬橋,ja,馬橋
馬橋,en,Mabashi
鹿島サッカースタジアム,ja,鹿島サッカースタジアム
鹿島サッカースタジアム,en,Kashima Soccer Stadium
宝積寺,ja,宝積寺
宝積寺,en,Hoshakuji
南柏,ja,南柏
南柏,en,Minami-Kashiwa
鴻野山,ja,鴻野山
鴻野山,en,Konoyama
新松戸,ja,新松戸
新松戸,en,Shim-Matsudo
天王台,ja,天王台
天王台,en,Tennodai
岩舟,ja,岩舟
岩舟,en,Iwafune
三河島,ja,三河島
三河島,en,Mikawashima
南千住,ja,南千住
南千住,en,Minami-senju
品川,ja,品川
品川,en,Shinagawa
上野,ja,上野
上野,en,Ueno
烏山,ja,烏山
烏山,en,Karasuyama
小塙,ja,小塙
小塙,en,Kobana
下野花岡,ja,下野花岡
下野花岡,en,Shimotsuke-Hanaoka
滝,ja,滝
滝,en,Taki
潮来,ja,潮来
潮来,en,Itako
十二橋,ja,十二橋
十二橋,en,Junikyo
鹿島神宮,ja,鹿島神宮
鹿島神宮,en,Kashimajingu
香取,ja,香取
香取,en,Katori
岩宿,ja,岩宿
岩宿,en,Iwajuku
延方,ja,延方
延方,en,Nobukata
佐原,ja,佐原
佐原,en,Sawara
笠幡,ja,笠幡
笠幡,en,Kasahata
的場,ja,的場
的場,en,Matoba
武蔵高萩,ja,武蔵高萩
武蔵高萩,en,Musashi-Takahagi
西川越,ja,西川越
西川越,en,Nishi-Kawagoe
赤羽,ja,赤羽
赤羽,en,Akabane
浜松町,ja,浜松町
浜松町,en,Hamamatsucho
東十条,ja,東十条
東十条,en,Higashi-Jujo
東神奈川,ja,東神奈川
東神奈川,en,Higashi-Kanagawa
本郷台,ja,本郷台
本郷台,en,Hongodai
石川町,ja,石川町
石川町,en,Ishikawacho
磯子,ja,磯子
磯子,en,Isogo
上中里,ja,上中里
上中里,en,Kami-Nakazato
関内,ja,関内
関内,en,Kannai
川口,ja,川口
川口,en,Kawaguchi
川崎,ja,川崎
川崎,en,Kawasaki
北浦和,ja,北浦和
北浦和,en,Kita-Urawa
港南台,ja,港南台
港南台,en,Konandai
南浦和,ja,南浦和
南浦和,en,Minami-Urawa
根岸,ja,根岸
根岸,en,Negishi
西川口,ja,西川口
西川口,en,Nishi-Kawaguchi
西日暮里,ja,西日暮里
西日暮里,en,Nishi-nippori
大船,ja,大船
大船,en,Ofuna
王子,ja,王子
王子,en,Oji
御徒町,ja,御徒町
御徒町,en,Okachimachi
大森,ja,大森
大森,en,Omori
さいたま新都心,ja,さいたま新都心
さいたま新都心,en,Saitama-Shintoshin
桜木町,ja,桜木町
桜木町,en,Sakuragicho
新子安,ja,新子安
新子安,en,Shin-Koyasu
新杉田,ja,新杉田
新杉田,en,Shin-Sugita
田端,ja,田端
田端,en,Tabata
田町,ja,田町
田町,en,Tamachi
鶴見,ja,鶴見
鶴見,en,Tsurumi
鶯谷,ja,鶯谷
鶯谷,en,Uguisudani
八丁堀,ja,八丁堀
八丁堀,en,Hatchobori
浦和,ja,浦和
浦和,en,Urawa
桐生,ja,桐生
桐生,en,Kiryu
蕨,ja,蕨
蕨,en,Warabi
山手,ja,山手
山手,en,Yamate
洋光台,ja,洋光台
洋光台,en,Yokodai
舞浜,ja,舞浜
舞浜,en,Maihama
市川塩浜,ja,市川塩浜
市川塩浜,en,Ichikawashiohama
与野,ja,与野
与野,en,Yono
有楽町,ja,有楽町
有楽町,en,Yurakucho
千葉みなと,ja,千葉みなと
千葉みなと,en,Chibaminato
越中島,ja,越中島
越中島,en,Etchujima
二俣新町,ja,二俣新町
二俣新町,en,Futamatashimmachi
稲毛海岸,ja,稲毛海岸
稲毛海岸,en,Inagekaigan
祇園,ja,祇園
祇園,en,Gion
海浜幕張,ja,海浜幕張
海浜幕張,en,Kaihimmakuhari
葛西臨海公園,ja,葛西臨海公園
葛西臨海公園,en,Kasairinkaikoen
検見川浜,ja,検見川浜
検見川浜,en,Kemigawahama
南船橋,ja,南船橋
南船橋,en,Minami-Funabashi
上総松丘,ja,上総松丘
上総松丘,en,Kazusa-Matsuoka
駒形,ja,駒形
駒形,en,Komagata
新習志野,ja,新習志野
新習志野,en,Shin-Narashino
新浦安,ja,新浦安
新浦安,en,Shin-Urayasu
潮見,ja,潮見
潮見,en,Shiomi
蘇我,ja,蘇我
蘇我,en,Soga
国定,ja,国定
国定,en,Kunisada
東清川,ja,東清川
東清川,en,Higashi-Kiyokawa
東横田,ja,東横田
東横田,en,Higashi-Yokota
平山,ja,平山
平山,en,Hirayama
上総亀山,ja,上総亀山
上総亀山,en,Kazusa-Kameyama
上総清川,ja,上総清川
上総清川,en,Kazusa-Kiyokawa
木更津,ja,木更津
木更津,en,Kisarazu
久留里,ja,久留里
久留里,en,Kururi
馬来田,ja,馬来田
馬来田,en,Makuta
小櫃,ja,小櫃
小櫃,en,Obitsu
下郡,ja,下郡
下郡,en,Shimogori
俵田,ja,俵田
俵田,en,Tawarada
横田,ja,横田
横田,en,Yokota
前橋大島,ja,前橋大島
前橋大島,en,Maebashioshima
府中本町,ja,府中本町
府中本町,en,Fuchuhommachi
船橋法典,ja,船橋法典
船橋法典,en,Funabashihoten
東川口,ja,東川口
東川口,en,Higashi-Kawaguchi
東所沢,ja,東所沢
東所沢,en,Higashi-Tokorozawa
東浦和,ja,東浦和
東浦和,en,Higashi-Urawa
前橋,ja,前橋
前橋,en,Maebashi
市川大野,ja,市川大野
市川大野,en,Ichikawaono
北朝霞,ja,北朝霞
北朝霞,en,Kita-Asaka
北府中,ja,北府中
北府中,en,Kita-Fuchu
越谷レイクタウン,ja,越谷レイクタウン
越谷レイクタウン,en,Koshigaya Laketown
南越谷,ja,南越谷
南越谷,en,Minami-Koshigaya
南流山,ja,南流山
南流山,en,Minami-Nagareyama
大平下,ja,大平下
大平下,en,Ohirashita
三郷,ja,三郷
三郷,en,Misato
武蔵浦和,ja,武蔵浦和
武蔵浦和,en,Musashi-Urawa
新座,ja,新座
新座,en,Niiza
小俣,ja,小俣
小俣,en,Omata
西浦和,ja,西浦和
西浦和,en,Nishi-Urawa
新三郷,ja,新三郷
新三郷,en,Shim-Misato
新秋津,ja,新秋津
新秋津,en,Shin-Akitsu
新小平,ja,新小平
新小平,en,Shin-Kodaira
新八柱,ja,新八柱
新八柱,en,Shin-Yahashira
思川,ja,思川
思川,en,Omoigawa
吉川美南,ja,吉川美南
吉川美南,en,Yoshikawaminami
吉川,ja,吉川
吉川,en,Yoshikawa
分倍河原,ja,分倍河原
分倍河原,en,Bubaigawara
平間,ja,平間
平間,en,Hirama
稲田堤,ja,稲田堤
稲田堤,en,Inadazutsumi
矢向,ja,矢向
矢向,en,Yako
稲城長沼,ja,稲城長沼
稲城長沼,en,Inaginaganuma
鹿島田,ja,鹿島田
鹿島田,en,Kashimada
久地,ja,久地
久地,en,Kuji
南多摩,ja,南多摩
南多摩,en,Minami-Tama
向河原,ja,向河原
向河原,en,Mukaigawara
武蔵溝ノ口,ja,武蔵溝ノ口
武蔵溝ノ口,en,Musashi-Mizonokuchi
武蔵中原,ja,武蔵中原
武蔵中原,en,Musashi-Nakahara
鹿沼,ja,鹿沼
鹿沼,en,Kanuma
武蔵新城,ja,武蔵新城
武蔵新城,en,Musashi-Shinjo
中野島,ja,中野島
中野島,en,Nakanoshima
西国立,ja,西国立
西国立,en,Nishi-Kunitachi
西府,ja,西府
西府,en,Nishifu
佐倉,ja,佐倉
佐倉,en,Sakura
尻手,ja,尻手
尻手,en,Shitte
宿河原,ja,宿河原
宿河原,en,Shukugawara
津田山,ja,津田山
津田山,en,Tsudayama
矢川,ja,矢川
矢川,en,Yagawa
谷保,ja,谷保
谷保,en,Yaho
矢野口,ja,矢野口
矢野口,en,Yanokuchi
浜川崎,ja,浜川崎
浜川崎,en,Hama-Kawasaki
八丁畷,ja,八丁畷
八丁畷,en,Hatcho-nawate
川崎新町,ja,川崎新町
川崎新町,en,Kawasakishimmachi
小田栄,ja,小田栄
小田栄,en,Odasakae
銚子,ja,銚子
銚子,en,Choshi
久住,ja,久住
久住,en,Kuzumi
松岸,ja,松岸
松岸,en,Matsugishi
滑河,ja,滑河
滑河,en,Namegawa
成田,ja,成田
成田,en,Narita
小見川,ja,小見川
小見川,en,Omigawa
大戸,ja,大戸
大戸,en,Oto
笹川,ja,笹川
笹川,en,Sasagawa
椎柴,ja,椎柴
椎柴,en,Shiishiba
下総神崎,ja,下総神崎
下総神崎,en,Shimosa-Kozaki
下総橘,ja,下総橘
下総橘,en,Shimosa-Tachibana
下総豊里,ja,下総豊里
下総豊里,en,Shimosa-Toyosato
酒々井,ja,酒々井
酒々井,en,Shisui
水郷,ja,水郷
水郷,en,Suigo
安食,ja,安食
安食,en,Ajiki
新木,ja,新木
新木,en,Araki
布佐,ja,布佐
布佐,en,Fusa
東我孫子,ja,東我孫子
東我孫子,en,Higashi-Abiko
木下,ja,木下
木下,en,Kioroshi
小林,ja,小林
小林,en,Kobayashi
湖北,ja,湖北
湖北,en,Kohoku
昭島,ja,昭島
昭島,en,Akishima
下総松崎,ja,下総松崎
下総松崎,en,Shimosa-Manzaki
文挟,ja,文挟
文挟,en,Fubasami
今市,ja,今市
今市,en,Imaichi
宇都宮,ja,宇都宮
宇都宮,en,Utsunomiya
福生,ja,福生
福生,en,Fussa
二俣尾,ja,二俣尾
二俣尾,en,Futamatao
羽村,ja,羽村
羽村,en,Hamura
新前橋,ja,新前橋
新前橋,en,Shim-Maebashi
鳩ノ巣,ja,鳩ノ巣
鳩ノ巣,en,Hatonosu
東中神,ja,東中神
東中神,en,Higashi-Nakagami
東青梅,ja,東青梅
東青梅,en,Higashi-Ome
日向和田,ja,日向和田
日向和田,en,Hinatawada
軍畑,ja,軍畑
軍畑,en,Ikusabata
石神前,ja,石神前
石神前,en,Ishigamimae
河辺,ja,河辺
河辺,en,Kabe
川井,ja,川井
川井,en,Kawai
古里,ja,古里
古里,en,Kori
御嶽,ja,御嶽
御嶽,en,Mitake
宮ノ平,ja,宮ノ平
宮ノ平,en,Miyanohira
中神,ja,中神
中神,en,Nakagami
西立川,ja,西立川
西立川,en,Nishi-Tachikawa
奥多摩,ja,奥多摩
奥多摩,en,Oku-Tama
青梅,ja,青梅
青梅,en,Ome
小作,ja,小作
小作,en,Ozaku
沢井,ja,沢井
沢井,en,Sawai
白丸,ja,白丸
白丸,en,Shiromaru
牛浜,ja,牛浜
牛浜,en,Ushihama
あしかがフラワーパーク,ja,あしかがフラワーパーク
あしかがフラワーパーク,en,Ashikaga Flower Park
足利,ja,足利
足利,en,Ashikaga
高崎問屋町,ja,高崎問屋町
高崎問屋町,en,Takasakitonyamachi
富田,ja,富田
富田,en,Tomita
山前,ja,山前
山前,en,Yamamae
番田,ja,番田
番田,en,Banda
茅ケ崎,ja,茅ケ崎
茅ケ崎,en,Chigasaki
原当麻,ja,原当麻
原当麻,en,Harataima
橋本,ja,橋本
橋本,en,Hashimoto
入谷,ja,入谷
入谷,en,Iriya
門沢橋,ja,門沢橋
門沢橋,en,Kadosawabashi
香川,ja,香川
香川,en,Kagawa
上溝,ja,上溝
上溝,en,Kamimizo
北茅ケ崎,ja,北茅ケ崎
北茅ケ崎,en,Kita-Chigasaki
倉見,ja,倉見
倉見,en,Kurami
南橋本,ja,南橋本
南橋本,en,Minami-Hashimoto
宮山,ja,宮山
宮山,en,Miyayama
